ID,障害工程,問題工程,障害内容,障害原因,対処内容,発生日時
1,検査,塗装,振動,モーター故障,モーター交換,2023-01-10
2,組み立て,搬入,振動,潤滑不足,潤滑実施,2023-12-17
3,搬入,搬入,過熱,潤滑不足,潤滑実施,2023-05-20
4,検査,塗装,過熱,設定ミス,設定見直し,2023-11-08
5,梱包,梱包,過熱,潤滑不足,潤滑実施,2023-11-25
6,梱包,検査,振動,モーター故障,モーター交換,2023-01-01
7,梱包,梱包,振動,潤滑不足,潤滑実施,2023-12-19
8,梱包,梱包,過熱,潤滑不足,潤滑実施,2023-12-10
9,組み立て,組み立て,異音,モーター故障,モーター交換,2023-10-26
10,搬入,搬入,振動,潤滑不足,潤滑実施,2023-08-11
11,梱包,梱包,誤動作,モーター故障,モーター交換,2023-01-07
12,梱包,検査,異音,潤滑不足,潤滑実施,2023-12-19
13,出荷,梱包,過熱,設定ミス,設定見直し,2023-01-17
14,梱包,梱包,振動,潤滑不足,潤滑実施,2023-02-26
15,梱包,梱包,停止,モーター故障,モーター交換,2023-10-15
16,塗装,組み立て,異音,モーター故障,モーター交換,2023-09-25
17,梱包,検査,停止,設定ミス,設定見直し,2023-04-20
18,検査,検査,誤動作,センサ誤作動,センサ調整,2023-08-11
19,出荷,出荷,振動,ベルト劣化,ベルト交換,2023-06-14
20,出荷,梱包,異音,潤滑不足,潤滑実施,2023-06-16
21,検査,塗装,異音,ベルト劣化,ベルト交換,2023-05-13
22,搬入,搬入,過熱,設定ミス,設定見直し,2023-08-11
23,塗装,塗装,誤動作,センサ誤作動,センサ調整,2023-06-21
24,組み立て,搬入,停止,モーター故障,モーター交換,2023-02-21
25,出荷,梱包,異音,ベルト劣化,ベルト交換,2023-09-03
26,搬入,搬入,振動,潤滑不足,潤滑実施,2023-01-15
27,梱包,検査,停止,センサ誤作動,センサ調整,2023-05-29
28,塗装,塗装,停止,設定ミス,設定見直し,2023-11-11
29,搬入,搬入,停止,設定ミス,設定見直し,2023-06-23
30,塗装,組み立て,誤動作,設定ミス,設定見直し,2023-01-25
31,出荷,梱包,停止,センサ誤作動,センサ調整,2023-09-16
32,塗装,塗装,誤動作,センサ誤作動,センサ調整,2023-04-17
33,梱包,検査,停止,設定ミス,設定見直し,2023-11-30
34,搬入,搬入,過熱,モーター故障,モーター交換,2023-05-23
35,梱包,梱包,過熱,潤滑不足,潤滑実施,2023-02-24
36,検査,検査,異音,モーター故障,モーター交換,2023-09-15
37,出荷,出荷,過熱,潤滑不足,潤滑実施,2023-10-12
38,梱包,検査,過熱,設定ミス,設定見直し,2023-12-18
39,塗装,組み立て,異音,潤滑不足,潤滑実施,2023-01-28
40,搬入,搬入,異音,ベルト劣化,ベルト交換,2023-10-26
41,塗装,塗装,停止,センサ誤作動,センサ調整,2023-11-15
42,組み立て,組み立て,誤動作,センサ誤作動,センサ調整,2023-03-18
43,梱包,梱包,過熱,潤滑不足,潤滑実施,2023-05-18
44,塗装,塗装,誤動作,設定ミス,設定見直し,2023-03-02
45,出荷,梱包,異音,モーター故障,モーター交換,2023-01-11
46,梱包,梱包,停止,モーター故障,モーター交換,2023-10-17
47,検査,塗装,誤動作,モーター故障,モーター交換,2023-07-19
48,出荷,梱包,過熱,設定ミス,設定見直し,2023-06-02
49,塗装,塗装,異音,潤滑不足,潤滑実施,2023-10-13
50,組み立て,組み立て,振動,潤滑不足,潤滑実施,2023-07-01
51,検査,検査,停止,設定ミス,設定見直し,2023-09-22
52,検査,検査,過熱,設定ミス,設定見直し,2023-09-10
53,検査,検査,振動,モーター故障,モーター交換,2023-09-06
54,搬入,搬入,停止,設定ミス,設定見直し,2023-07-11
55,塗装,塗装,異音,潤滑不足,潤滑実施,2023-04-01
56,梱包,検査,振動,ベルト劣化,ベルト交換,2023-07-19
57,検査,塗装,振動,潤滑不足,潤滑実施,2023-04-15
58,梱包,梱包,異音,ベルト劣化,ベルト交換,2023-07-23
59,出荷,梱包,振動,潤滑不足,潤滑実施,2023-09-07
60,梱包,梱包,振動,モーター故障,モーター交換,2023-03-21
61,塗装,組み立て,誤動作,センサ誤作動,センサ調整,2023-08-10
62,検査,検査,誤動作,モーター故障,モーター交換,2023-10-15
63,検査,塗装,誤動作,センサ誤作動,センサ調整,2023-03-21
64,搬入,搬入,誤動作,設定ミス,設定見直し,2023-01-15
65,搬入,搬入,振動,モーター故障,モーター交換,2023-06-05
66,搬入,搬入,振動,潤滑不足,潤滑実施,2023-04-27
67,出荷,梱包,異音,ベルト劣化,ベルト交換,2023-02-20
68,検査,塗装,異音,ベルト劣化,ベルト交換,2023-09-01
69,出荷,出荷,誤動作,センサ誤作動,センサ調整,2023-09-25
70,出荷,梱包,誤動作,モーター故障,モーター交換,2023-01-29
71,塗装,組み立て,異音,ベルト劣化,ベルト交換,2023-03-14
72,検査,検査,停止,モーター故障,モーター交換,2023-07-13
73,塗装,塗装,停止,モーター故障,モーター交換,2023-07-18
74,梱包,梱包,誤動作,センサ誤作動,センサ調整,2023-03-17
75,搬入,搬入,停止,設定ミス,設定見直し,2023-01-27
76,出荷,出荷,停止,モーター故障,モーター交換,2023-07-27
77,組み立て,搬入,過熱,モーター故障,モーター交換,2023-03-05
78,組み立て,組み立て,異音,潤滑不足,潤滑実施,2023-11-18
79,塗装,組み立て,過熱,潤滑不足,潤滑実施,2023-07-08
80,組み立て,搬入,振動,潤滑不足,潤滑実施,2023-06-11
81,搬入,搬入,振動,潤滑不足,潤滑実施,2023-12-25
82,出荷,梱包,誤動作,設定ミス,設定見直し,2023-04-04
83,検査,検査,異音,モーター故障,モーター交換,2023-12-30
84,出荷,出荷,異音,モーター故障,モーター交換,2023-11-15
85,検査,塗装,異音,ベルト劣化,ベルト交換,2023-10-28
86,塗装,塗装,振動,モーター故障,モーター交換,2023-10-16
87,検査,塗装,振動,潤滑不足,潤滑実施,2023-01-26
88,組み立て,組み立て,異音,潤滑不足,潤滑実施,2023-11-01
89,組み立て,組み立て,振動,潤滑不足,潤滑実施,2023-07-09
90,出荷,出荷,振動,潤滑不足,潤滑実施,2023-12-30
91,塗装,組み立て,停止,センサ誤作動,センサ調整,2023-11-28
92,搬入,搬入,誤動作,設定ミス,設定見直し,2023-08-11
93,搬入,搬入,振動,モーター故障,モーター交換,2023-11-22
94,搬入,搬入,誤動作,モーター故障,モーター交換,2023-11-11
95,組み立て,搬入,過熱,設定ミス,設定見直し,2023-12-29
96,塗装,塗装,誤動作,設定ミス,設定見直し,2023-01-10
97,梱包,梱包,過熱,モーター故障,モーター交換,2023-11-24
98,塗装,組み立て,過熱,潤滑不足,潤滑実施,2023-02-14
99,組み立て,搬入,停止,設定ミス,設定見直し,2023-07-17
100,組み立て,組み立て,振動,潤滑不足,潤滑実施,2023-05-27
